,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
Active,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),14,0.9743112434847356,0.7920702179176755,0.8737896494156928,3304.0
Inactive,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),14,0.4846211552888222,0.9034965034965035,0.630859375,715.0
accuracy,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),14,0.8118935058472256,0.8118935058472256,0.8118935058472256,0.8118935058472256
macro avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),14,0.7294661993867789,0.8477833607070895,0.7523245122078464,4019.0
weighted avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),14,0.8871929521037757,0.8118935058472256,0.8305711507326323,4019.0
