,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
Active,Decision Tree,True,MinMaxScaler(),0,0.9721577726218097,0.7608958837772397,0.8536502546689304,3304.0
Inactive,Decision Tree,True,MinMaxScaler(),0,0.4487090020935101,0.8993006993006993,0.5986964618249535,715.0
accuracy,Decision Tree,True,MinMaxScaler(),0,0.7855187857676039,0.7855187857676039,0.7855187857676039,0.7855187857676039
macro avg,Decision Tree,True,MinMaxScaler(),0,0.7104333873576599,0.8300982915389695,0.726173358246942,4019.0
weighted avg,Decision Tree,True,MinMaxScaler(),0,0.8790336444984621,0.7855187857676039,0.8082927125232615,4019.0
