,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
Active,Naive Bayes,False,StandardScaler(),0,0.9301223845242795,0.7130750605326877,0.8072640054822684,3304.0
Inactive,Naive Bayes,False,StandardScaler(),0,0.3620457604306864,0.7524475524475525,0.4888686960472513,715.0
accuracy,Naive Bayes,False,StandardScaler(),0,0.7200796217964668,0.7200796217964668,0.7200796217964668,0.7200796217964668
macro avg,Naive Bayes,False,StandardScaler(),0,0.646084072477483,0.7327613064901201,0.6480663507647598,4019.0
weighted avg,Naive Bayes,False,StandardScaler(),0,0.829058740277721,0.7200796217964668,0.7506199034056231,4019.0
