,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
Active,Decision Tree,False,MinMaxScaler(),0,0.9559426229508197,0.8471549636803875,0.8982670089858793,3304.0
Inactive,Decision Tree,False,MinMaxScaler(),0,0.537121906507791,0.8195804195804196,0.6489479512735328,715.0
accuracy,Decision Tree,False,MinMaxScaler(),0,0.8422493157501866,0.8422493157501866,0.8422493157501866,0.8422493157501866
macro avg,Decision Tree,False,MinMaxScaler(),0,0.7465322647293053,0.8333676916304036,0.773607480129706,4019.0
weighted avg,Decision Tree,False,MinMaxScaler(),0,0.8814323437130079,0.8422493157501866,0.8539119141204083,4019.0
