,Unnamed: 0,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
4,weighted avg,Support Vector Machines (SVM),True,"RobustScaler(quantile_range=(25, 75))",0,0.9435338245688276,0.9308285643194824,0.9340447563028434,4019.0
0,Active,Support Vector Machines (SVM),False,MinMaxScaler(),0,0.9909061383566092,0.9234261501210652,0.955976813410622,3304.0
1,Inactive,Support Vector Machines (SVM),False,MinMaxScaler(),0,0.7308510638297873,0.9608391608391608,0.8302114803625377,715.0
2,accuracy,Support Vector Machines (SVM),False,MinMaxScaler(),0,0.9300821099776064,0.9300821099776064,0.9300821099776064,0.9300821099776064
3,macro avg,Support Vector Machines (SVM),False,MinMaxScaler(),0,0.8608786010931982,0.942132655480113,0.8930941468865798,4019.0
4,weighted avg,Support Vector Machines (SVM),False,MinMaxScaler(),0,0.9446410529406656,0.9300821099776064,0.9336025379367776,4019.0
0,Active,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",14,0.982837528604119,0.7799636803874092,0.8697266284171448,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",14,0.4795991410164638,0.9370629370629372,0.634469696969697,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",14,0.8079124160238865,0.8079124160238865,0.8079124160238865,0.8079124160238865
3,macro avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",14,0.7312183348102914,0.8585133087251731,0.7520981626934209,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",14,0.8933089276772282,0.8079124160238865,0.8278732554425429,4019.0
0,Active,Decision Tree,False,PowerTransformer(),0,0.9554118447923756,0.8495762711864406,0.899391220762576,3304.0
1,Inactive,Decision Tree,False,PowerTransformer(),0,0.5402405180388529,0.8167832167832167,0.6503340757238306,715.0
2,accuracy,Decision Tree,False,PowerTransformer(),0,0.8437422244339388,0.8437422244339388,0.8437422244339388,0.8437422244339388
3,macro avg,Decision Tree,False,PowerTransformer(),0,0.7478261814156143,0.8331797439848287,0.7748626482432033,4019.0
4,weighted avg,Decision Tree,False,PowerTransformer(),0,0.8815508100502087,0.8437422244339388,0.8550827214585942,4019.0
0,Active,K-Nearest Neighbors (kNN),True,PowerTransformer(),18,0.9693693693693692,0.8141646489104116,0.8850139825629215,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,PowerTransformer(),18,0.5064308681672026,0.8811188811188811,0.6431852986217458,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,PowerTransformer(),18,0.8260761383428714,0.8260761383428714,0.8260761383428714,0.8260761383428714
3,macro avg,K-Nearest Neighbors (kNN),True,PowerTransformer(),18,0.737900118768286,0.8476417650146464,0.7640996405923337,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,PowerTransformer(),18,0.8870103177745573,0.8260761383428714,0.8419914622797812,4019.0
0,Active,Support Vector Machines (SVM),False,PowerTransformer(),0,0.9908883826879272,0.9216101694915254,0.9549945115257958,3304.0
1,Inactive,Support Vector Machines (SVM),False,PowerTransformer(),0,0.726215644820296,0.9608391608391608,0.827212522576761,715.0
2,accuracy,Support Vector Machines (SVM),False,PowerTransformer(),0,0.928589201293854,0.928589201293854,0.928589201293854,0.928589201293854
3,macro avg,Support Vector Machines (SVM),False,PowerTransformer(),0,0.8585520137541116,0.9412246651653432,0.8911035170512784,4019.0
4,weighted avg,Support Vector Machines (SVM),False,PowerTransformer(),0,0.9438017920993836,0.928589201293854,0.9322614629817402,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),6,0.9883281840027464,0.8713680387409201,0.9261701785427054,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),6,0.6157323688969258,0.9524475524475524,0.7479406919275122,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),6,0.8857924856929584,0.8857924856929584,0.8857924856929584,0.8857924856929584
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),6,0.8020302764498362,0.9119077955942364,0.8370554352351088,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),6,0.92204154359452,0.8857924856929584,0.8944622703740407,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),8,0.9843971631205674,0.8401937046004843,0.9065969954278248,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),8,0.5596330275229358,0.9384615384615383,0.7011494252873564,715.0
