,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
Active,Decision Tree,True,MaxAbsScaler(),0,0.9502061528702823,0.9067796610169492,0.9279851324144339,3304.0
Inactive,Decision Tree,True,MaxAbsScaler(),0,0.6443418013856813,0.7804195804195804,0.7058823529411763,715.0
accuracy,Decision Tree,True,MaxAbsScaler(),0,0.8842995770092063,0.8842995770092063,0.8842995770092063,0.8842995770092063
macro avg,Decision Tree,True,MaxAbsScaler(),0,0.7972739771279818,0.8435996207182648,0.8169337426778052,4019.0
weighted avg,Decision Tree,True,MaxAbsScaler(),0,0.8957913702598096,0.8842995770092063,0.888471948208567,4019.0
