,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
Active,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",7,0.9920091324200914,0.789043583535109,0.8789615643964936,3304.0
Inactive,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",7,0.49892163910855497,0.9706293706293706,0.6590693257359924,715.0
accuracy,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",7,0.8213485941776562,0.8213485941776562,0.8213485941776562,0.8213485941776562
macro avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",7,0.7454653857643232,0.8798364770822398,0.769015445066243,4019.0
weighted avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",7,0.904286425846877,0.8213485941776562,0.8398416463466658,4019.0
